year,monto
1991,7895790.138
1992,8095459.156
1993,8504349.308
1994,8812787.764
1995,9249120.264
1996,9684706.988
1997,10196087.88
1998,10786282.48
1999,10773490.44
2000,11153519.25
2001,11206431.85
2002,11509032.49
2003,11886230.27
2004,12360341.67
2005,12878943.76
2006,13409689.28
2007,13859996.6
2008,14793051.34
2009,15169676.63
2010,15703867.75
2011,16512255.22
2012,17284809.91
2013,18490393.94
2014,19473643.11
2015,20455388.96
2016,21320523.86
2017,22082968.24
2018,23161988.82
2019,23822801.08
2020,20751648.76
2021,22855878.56
2022,23798924.59
